VLSUP Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?
General Table Rules,,,,,,,H,"General Rule:Amounts owed are stored in two tables in legacy DACSES, T1018 and T1048. 
 T1018 stores the PRWORA debt which the state has chosen to do away with in favor of DRA. 
 T1018 with SS_TYP_CD of PERMAN will map to VLSUP.OweTotPaa_AMNT.   T1018 with SS_TYP_CD of UNASSD will map to VLSUP.OweTotUda_AMNT.  All other balances in T1018 will be summed into VLSUP.OweTotNaa_AMNT
The balance in T1048 will be used for types FCAREA, CUSTM%,  CUSTS%, OSTATA, and MEDA.",
Case_IDNO,"Numb(6,0)",VOBLE,Case_IDNO,"Numb(6,0)",,,,,
OrderSeq_NUMB,"Numb(2,0)",VOBLE,OrderSeq_NUMB,"Numb(2,0)",,,,,
ObligationSeq_NUMB,"Numb(2,0)",VOBLE,ObligationSeq_NUMB,"Numb(2,0)",,,,,
SupportYearMonth_NUMB,"Numb(6,0)",,,,,conversion date (ccyymm),,,
TypeWelfare_CODE,Char(1),VMHIS,TypeWelfare_CODE,Char(1),,,M,"Rule:If VOBLE.DebtType_CODE =  CS or MS
 move the value stored in VMHIS where End_Date = '12/31/9999'
 else move  N. (LOV PA Type, REFM MHIS/PGTY)",
TransactionCurSup_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotCurSup_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotCurSup_AMNT,"Numb(11,2)",,,,,zero,,,
MtdCurSupOwed_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionExptPay_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotExptPay_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotExptPay_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionNaa_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotNaa_AMNT,"Numb(11,2)",T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,,,
AppTotNaa_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionPaa_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotPaa_AMNT,"Numb(11,2)",T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,,,
AppTotPaa_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionTaa_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotTaa_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotTaa_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionCaa_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotCaa_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotCaa_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionUpa_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotUpa_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotUpa_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionUda_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotUda_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotUda_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionIvef_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotIvef_AMNT,"Numb(11,2)",T1048_SUB_ACCT,BALANCE,"Numb(10,2)",,,L,Rule:When T1048.SUB_TYP_CD = 'FCAREA' and the T1048.balance > 0 populate this field.,
AppTotIvef_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionMedi_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotMedi_AMNT,"Numb(11,2)",T1048_SUB_ACCT,BALANCE,"Numb(10,2)",,,L,Rule:When T1048.SUB_TYP_CD = 'MEDA' AND T1048.BALANCE > 0 populate this field.,
AppTotMedi_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionNffc_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotNffc_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotNffc_AMNT,"Numb(11,2)",,,,,zero,,,
TransactionNonIvd_AMNT,"Numb(11,2)",,,,,zero,,,
OweTotNonIvd_AMNT,"Numb(11,2)",T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,L,"Rule:The legacy DACSES system does not track NIVD arrears separately. 
Move the VLSUP.OweTotNaa_AMNT to this field and set VLSUP.OweTotNaa_AMNT to 0 when the T1044.IVD_TYP_CD  =  COLL or DIRP.",
AppTotNonIvd_AMNT,"Numb(11,2)",,,,,zero,,,
Batch_DATE,"Date(3,0)",,,,,LOW DATE,,,
SourceBatch_CODE,Char(3),,,,,SPACES,,,
Batch_NUMB,"Numb(4,0)",,,,,zero,,,
SeqReceipt_NUMB,"Numb(6,0)",,,,,zero,,,
Receipt_DATE,"Date(3,0)",,,,,LOW date,,,
Distribute_DATE,"Date(3,0)",,,,,LOW date,,,
EventFunctionalSeq_NUMB,"Numb(4,0)",,,,,9999,,,
EventGlobalSeq_NUMB,"Numb(19,0)",,,,,conversion generated,,,
TransactionFuture_AMNT,"Numb(11,2)",,,,,zero,,,
AppTotFuture_AMNT,"Numb(11,2)",,,,,zero,,,
CHECKRECIPIENT_ID,Char(10),VOBLE,CHECKRECIPIENT_ID,Char(10),,,,,
CheckRecipient_CODE,Char(1),VOBLE,CheckRecipient_CODE,Char(1),X,,,,
TYPERECORD_CODE,Char(1),,,,,O (original transaction),,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
